序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,关于提高大专院校工商管理教学质量的探析,李蕾,学周刊,2019-04-23,0,0,0,1684
2,编制管理用利润表的教学问题探讨,田洪红；欧瑞秋,学周刊,2019-04-23,0,0,0,1684
3,基于高校创新创业档案系统的构建及管理分析,张传智,学周刊,2019-04-23,0,0,0,1684
4,浅析巧用图书馆资源提升学生核心素养,王京,学周刊,2019-04-23,1,0,1,1684
5,智能制造背景下高职数控技术专业课程教学改革与实践,孙中柏,学周刊,2019-04-23,8,0,8,1684
6,师范院校人工智能方向创新型人才培养方式的研究,孙秋成；王佳岩,学周刊,2019-04-23,0,0,0,1684
7,大数据方向的数字媒体专业教学数据库建设思路与实践,萧央,学周刊,2019-04-23,0,0,0,1684
8,交互式电子白板在农村英语课堂上的应用,蒲菀郁,学周刊,2019-04-23,0,0,0,1684
9,浅谈如何利用微课突破教学难点——以“气体制取装置气密性的检查原理”为例,王生林,学周刊,2019-04-23,1,0,1,1684
10,信息技术与小学数学课堂教学的深度融合分析,陈小静,学周刊,2019-04-23,22,0,22,1684
11,多媒体技术在初中生物实验教学中的应用,窦葛琴,学周刊,2019-04-23,2,0,2,1684
12,信息技术与小学数学融合的教学应用探究,丁小龙,学周刊,2019-04-23,3,0,3,1684
13,试论信息技术与课堂教学深度融合的必要性,杨进喜,学周刊,2019-04-23,5,0,5,1684
14,多媒体技术在小学语文教学中的应用分析,范小平,学周刊,2019-04-23,4,0,4,1684
15,信息技术与学科教学深度融合初探,秦小军,学周刊,2019-04-23,3,0,3,1684
16,浅议微课在初中语文教学中的作用,王淑红,学周刊,2019-04-23,5,0,5,1684
17,小学语文与信息技术的有效整合,李小仙,学周刊,2019-04-23,7,0,7,1684
18,信息技术在高中历史教学中的应用研究,张迎彬,学周刊,2019-04-23,3,0,3,1684
19,"乘“互联网+教育”的快车,弥补农村美育工作的短板",刘国花,学周刊,2019-04-23,2,0,2,1684
20,教育管理信息化新发展走向智慧管理,陆雁飞,学周刊,2019-04-23,2,0,2,1684
21,提高大学生网络视频学习效率的策略研究,王慧娇,学周刊,2019-04-23,3,0,3,1684
22,浅谈交互式微课的设计与开发——以高校《现代教育技术》课程为例,许敬,学周刊,2019-04-23,3,0,3,1684
23,自主学习与翻转课堂教学协同推进对策探析,吴应宁；张峥嵘,学周刊,2019-04-23,3,0,3,1684
24,互联网时代背景下信息化建设对中职计算机教育教学的影响,张万钧,学周刊,2019-04-23,5,0,5,1684
25,探讨微课在中职语文教学中的应用,卢摇摇,学周刊,2019-04-23,3,0,3,1684
26,"情景创设,构建高效英语课堂教学",刘淼,学周刊,2019-04-23,4,0,4,1684
27,"语篇分析,英语阅读教学之捷径",郭静,学周刊,2019-04-23,4,0,4,1684
