序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,Comparative Analysis between Government Accounting System and Accounting Regulations for Universities,Shuting Zhang；Xinrui Kang,课程教育研究,2019-04-26,0,0,0,4724
2,如何提高学生的财务管理能力,赵春燕,课程教育研究,2019-04-26,0,0,0,4724
3,多媒体时代中专会计学生加强《职业道德与法律》教学的必要性研究,陈保元,课程教育研究,2019-04-26,2,0,2,4724
4,财会类专业实践教学的瓶颈和突破,杨建萍,课程教育研究,2019-04-26,1,0,1,4724
5,混合式教学模式在高校消费者行为学课程中的应用研究,王飞,课程教育研究,2019-04-26,1,0,1,4724
6,OBE教学理念下双语教学效果提升策略研究——以《国际贸易实务》课程为例,徐冰,课程教育研究,2019-04-26,2,0,2,4724
7,“双创”能力下的旅游管理实践教学体系构建研究,苏琨,课程教育研究,2019-04-26,3,0,3,4724
8,外资企业中中国员工的相对剥夺感,叶宣妤,课程教育研究,2019-04-26,0,0,0,4724
9,基于智慧物流技能大赛的高职“仓储与配送管理”教学模式研究,李世玺,课程教育研究,2019-04-26,2,0,2,4724
10,大数据时代博物馆的服务创新与发展分析,何涛,课程教育研究,2019-04-26,1,0,1,4724
11,基于心理学对微信使用的社会化的探析,樊梦云,课程教育研究,2019-04-26,0,0,0,4724
12,基于“机床电气控制及PLC”课程的精品在线开放课程建设与实践,王云霞；何永涛；卢吉平；路书芬,课程教育研究,2019-04-26,1,0,1,4724
13,矿物加工工程专题实验视频教学研究与实践,邓荣东；刘述忠；马英强,课程教育研究,2019-04-26,0,0,0,4724
14,虚拟仿真实验平台与液压传动与气动课程的融合探索,陈其怀；林添良；周丽君；任好玲,课程教育研究,2019-04-26,2,0,2,4724
15,病理生理学的微视频教学设计——发热的时相,赵娟；崔海鹏；刘凯；李瑞香；谢亚芹；李颖；董雅洁；于海荣,课程教育研究,2019-04-26,1,0,1,4724
16,机能实验学网络化教学平台的构建与探索,李雪涛；张川荛；叶青妍；杨泳；后文俊；刘晓萌；马加庆,课程教育研究,2019-04-26,1,1,0,4724
17,人体解剖学微课的设计与制作探索,耿波洋,课程教育研究,2019-04-26,0,0,0,4724
18,角色扮演结合多媒体技术在骨科临床实践教学中的应用前景,朱思品,课程教育研究,2019-04-26,0,0,0,4724
19,结合TED资源的大学英语视听说课优化策略,张玮；田红宁；张翠平,课程教育研究,2019-04-26,3,0,3,4724
20,游戏化学习在高校日语翻转课堂中的教学模式,李月婷,课程教育研究,2019-04-26,3,0,3,4724
21,论翻转课堂如何运用于高职英语教学过程中,李青,课程教育研究,2019-04-26,0,0,0,4724
22,信息技术在小学英语教学中的整合作用,陈爱琴,课程教育研究,2019-04-26,1,0,1,4724
23,雨课堂视域下大学日语教育听说技能训练模式探讨,张颖,课程教育研究,2019-04-26,0,0,0,4724
24,基于慕课教育的高职英语课堂教学改革,刘芳颖,课程教育研究,2019-04-26,0,0,0,4724
25,轮机英语听力与会话教学微课建设研究,沈烈；孙鹏；董丽娜；杨烨；邢丰烁,课程教育研究,2019-04-26,0,0,0,4724
26,浅谈现代信息技术与小学数学学科的整合与探讨,吕莉,课程教育研究,2019-04-26,3,0,3,4724
27,微课在高中生物教学中的创新应用,张闯,课程教育研究,2019-04-26,6,0,6,4724
28,信息化课堂的教学交互研究,张凤；岑少飞,课程教育研究,2019-04-26,1,0,1,4724
29,浅谈交互式电子白板的应用与研究——以高中物理课堂教学为例,余丽娜,课程教育研究,2019-04-26,1,0,1,4724
30,化学教学信息化的研究,修丽霞,课程教育研究,2019-04-26,1,0,1,4724
31,浅谈数字化信息系统与物理教学的有效整合,关存云,课程教育研究,2019-04-26,1,0,1,4724
32,网络环境下大学生自主学习能力的评价及标准,刘国有；赵媛媛,课程教育研究,2019-04-26,2,0,2,4724
33,微课在小学语文教学中应用问题的研究,沈娟,课程教育研究,2019-04-26,2,0,2,4724
34,PBL教学模式在计算机应用软件课堂的应用实践与思考——以Photoshop路径为例,秦彦彦,课程教育研究,2019-04-26,3,0,3,4724
35,基于C语言教学效果的比较探索高职院校Python的教学模式,刘宗妹,课程教育研究,2019-04-26,4,0,4,4724
36,信息类专业课程中的“思政元素”及其运用,夏建文,课程教育研究,2019-04-26,8,0,8,4724
37,浅谈高职计算机组装与维护课的教学模式——以江西青年职业学院为例,余丽娜,课程教育研究,2019-04-26,2,0,2,4724
38,基于QuartusⅡ的加法器的教学探讨,陈光红,课程教育研究,2019-04-26,0,0,0,4724
39,智慧教学背景下课程考核方式的改革——以电子信息专业的《数字电路与系统》课程考核为例,文斯；陈华；李天文；石兴华；麻楚霞,课程教育研究,2019-04-26,4,0,4,4724
40,趣味教学构建高效课堂——以高中英语教学为例,阳毅,课程教育研究,2019-04-26,1,0,1,4724
41,肢体语言在初中英语课堂教学中的应用探究,郑梦怡,课程教育研究,2019-04-26,4,0,4,4724
42,初中英语“学困生”学习心理障碍分析及对策,王栋良,课程教育研究,2019-04-26,6,0,6,4724
43,核心素养视角下初中英语写作教学实施策略,冯武亮,课程教育研究,2019-04-26,16,0,16,4724
44,合作学习在初中英语教学中的有效应用探讨,楚旭,课程教育研究,2019-04-26,2,0,2,4724
45,中考英语复习浅析,李花,课程教育研究,2019-04-26,1,0,1,4724
46,探讨如何提高初中英语教学的课堂实效性,谭雅妮,课程教育研究,2019-04-26,1,0,1,4724
47,探讨微课在高中《计算机应用基础》教学中的应用,刘付建新,课程教育研究,2019-04-26,3,0,3,4724
48,初中语文阅读教学存在的问题及对策探讨,任军义,课程教育研究,2019-04-26,7,0,7,4724
49,中职数学核心素养渗透课堂教学实践的策略,郭邦福,课程教育研究,2019-04-26,5,0,5,4724
50,"春风化雨,润物无声——谈学生数学学习能力的培养",姚渭文,课程教育研究,2019-04-26,0,0,0,4724
51,“自学·议论·引导”教学法与核心素养的培养策略——学习李庾南老师教学法的点滴尝试,潘兴文,课程教育研究,2019-04-26,2,0,2,4724
52,实验融入数学课堂——初中数学实验教学策略探讨,钱程,课程教育研究,2019-04-26,5,0,5,4724
53,浅谈问卷星在中职数学教学中的实践运用,陈少华,课程教育研究,2019-04-26,1,0,1,4724
54,浅谈初中数学课堂教学的“学—导—升”模式,卢翠连,课程教育研究,2019-04-26,0,0,0,4724
55,情景式教学在中小学数学教育中的实践与体会,王惠；王娟,课程教育研究,2019-04-26,1,0,1,4724
56,初中数学教学融入数学文化的作用分析,范培庆,课程教育研究,2019-04-26,0,0,0,4724
57,初中阶段中考总复习的有效策略研究,梁子洲,课程教育研究,2019-04-26,2,0,2,4724
58,"剖析数学核心素养,促进学生全面发展——谈高中解析几何教学中数学核心素养的发展",曾霞,课程教育研究,2019-04-26,5,0,5,4724
