序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,从“林长制”到“林长治”,,绿色中国,2020-12-16,0,0,0,1001
2,要闻,,绿色中国,2020-12-16,0,0,0,1001
3,声音,,绿色中国,2020-12-16,0,0,0,1001
4,数字,,绿色中国,2020-12-16,0,0,0,1001
5,“十三五” 绿水青山描绘美丽中国,耿国彪,绿色中国,2020-12-16,0,0,0,1001
6,林长制 推开森林资源全面管理的大门,海铭,绿色中国,2020-12-16,0,0,0,1001
7,王永刚：折翼鸿鹄志存高远 精工细作修己惠人,陈平,绿色中国,2020-12-16,0,0,0,1001
8,践行“两山”理论 让渠首水源地水清民富生态美,余泽厚,绿色中国,2020-12-16,0,0,0,1001
9,江西资溪：生态产品价值实现路径的有益探索,陈薇,绿色中国,2020-12-16,2,0,2,1001
10,“候鸟医生”李春如：但愿人长久 候鸟寄余生,徐立鸣；邱业成,绿色中国,2020-12-16,0,0,0,1001
11,江西万年 红豆杉中开出“幸福花”,海悦,绿色中国,2020-12-16,0,0,0,1001
12,河北兴隆：育出绿水青山 变现金山银山,吴亚平；孙阁,绿色中国,2020-12-16,0,0,0,1001
13,陈和义 勇做新时代泰山“挑山工”,张志国； 孙健,绿色中国,2020-12-16,0,0,0,1001
14,结构再造：美丽乡村全域化景区开发的实践模式——以浙江省湖州市德清县为例,程悦,绿色中国,2020-12-16,0,0,0,1001
15,第八届绿色中国美丽使者评选活动启动,,绿色中国,2020-12-16,0,0,0,1001
16,第二届绿色中国理事会正式启动,文燕,绿色中国,2020-12-16,0,0,0,1001
17,林草骄傲 引领神州大地绿色前行,,绿色中国,2020-12-01,0,0,0,1001
18,我国风沙危害石漠化程度持续减轻,耿国彪,绿色中国,2020-12-01,0,0,0,1001
19,践行“两山”理论 努力创造绿色发展新样式,胡春平,绿色中国,2020-12-01,1,0,1,1001
20,全国林科十佳毕业生评选活动2021再出发,海明,绿色中国,2020-12-01,0,0,0,1001
21,林草榜样 绽放新时代光芒,,绿色中国,2020-12-01,0,0,0,1001
22,陈永忠 让油茶树成为老百姓的“幸福树”,耿国彪,绿色中国,2020-12-01,0,0,0,1001
23,黄河流域生态保护必须正确认识和处理十个关系,黎祖交,绿色中国,2020-12-01,1,0,1,1001
24,苍鹭峰 藏在太行山深处的灼耀明珠,田峰,绿色中国,2020-12-01,0,0,0,1001
25,川金丝猴:灵长类动物中的“颜值担当”,杨敬元,绿色中国,2020-12-01,0,0,0,1001
26,普达措 彩云之南的美丽往事,海文,绿色中国,2020-12-01,0,0,0,1001
27,美丽中国“底色”更浓更靓,耿国彪,绿色中国,2020-12-01,0,0,0,1001
28,"护鸟儿飞翔,如音符在山水间流淌——四位爱鸟人的故事",周梦爽；张胜；王斯敏,绿色中国,2020-12-01,0,0,0,1001
29,资讯,,绿色中国,2020-12-01,0,0,0,1001
30,朱鹮 献给世界的一抹亮色,耿国彪,绿色中国,2020-12-01,0,0,0,1001
31,第二届绿色中国理事会正式启动,文燕,绿色中国,2020-12-01,0,0,0,1001
32,推进自然教育 共筑生态文明,李彬庆； 张志国,绿色中国,2020-12-01,0,0,0,1001
33,为时代楷模立像——八步沙“六老汉”三代人专题美术展举行,耿国彪,绿色中国,2020-12-01,0,0,0,1001
34,推动林产化学与材料国际创新高地建设,海悦,绿色中国,2020-12-01,0,0,0,1001
35,林下经济让优势资源不再沉睡,黄俊毅,绿色中国,2020-12-01,1,0,1,1001
36,生态扶贫实现保护与脱贫双赢,,绿色中国,2020-11-16,0,0,0,1001
37,要闻,,绿色中国,2020-11-16,0,0,0,1001
38,声音,,绿色中国,2020-11-16,0,0,0,1001
39,数字,,绿色中国,2020-11-16,0,0,0,1001
40,践行习近平生态文明思想 勇做新时代林草先锋——国家林草局公布12个践行习近平生态文明思想先进单位和个人的先进事迹,,绿色中国,2020-11-16,1,0,1,1001
41,拄拐种树多磨难 敢教荒山变金山——全国“林业英雄”孙建博国有林场改革发展事迹,,绿色中国,2020-11-16,0,0,0,1001
42,子承父业40年坚守 誓把“黄龙”变绿洲——甘肃郭万刚腾格里沙漠南缘生态治理事迹,,绿色中国,2020-11-16,0,0,0,1001
43,长期奋战在扶贫攻坚和科技创新第一线——河北李保国山区生态建设和科技富民事迹,,绿色中国,2020-11-16,0,0,0,1001
44,一生守护生态安全的“森林医生”——山东闫家河林业有害生物监测防治研究事迹,,绿色中国,2020-11-16,0,0,0,1001
45,科技让油茶成为百姓的“幸福树”——湖南陈永忠油茶科技扶贫事迹,,绿色中国,2020-11-16,0,0,0,1001
46,用坚强担当书写新时代林草人职责使命——国家林业和草原局张月应对新冠肺炎疫情事迹,,绿色中国,2020-11-16,0,0,0,1001
47,久久为功守初心 一棵杉木做到底——福建洋口国有林场杉木育种科研团队事迹,,绿色中国,2020-11-16,0,0,0,1001
48,虽为女子亦志刚 甘为木麻战飞沙——海南陶凤交“绿色娘子军”海防林建设事迹,,绿色中国,2020-11-16,0,0,0,1001
