序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,基于数字图像处理的石刻书法拓印系统的设计,熊宇虹； 何伟； 舒明磊； 胡帆,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
2,高校艺术设计类专业伦理道德教育亟待加强,付堃； 原源； 麦莉娟； 谭任杰,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
3,地域饮食文化变迁的人类学研究——以水城烙锅为例,何茂莉； 席禹梅,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
4,艺术生态化语境下乡村共享空间“多义性”生成研究,李雯雯,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
5,泉州安溪清水岩寺建筑艺术与景观特色,孙群； 陈丽羽,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
6,徐建明艺术作品选,徐建明,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
7,从《珀耳塞福涅》管窥但丁·罗塞蒂的女性观,邵军； 尹桂平,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
8,李嵩款《四迷图——酗酒图》献疑,张国栋,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
9,同一主题，两幅名画——从恐惧管理理论解读大卫和蒙克的《马拉之死》,李同归； 李杭菀,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
10,川北灯戏视觉化设计传播,袁征博,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
11,中国现代影视动画中妖怪形象研究,吴伟峰,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
12,非物质文化遗产“石首跳三鼓”的活化与创新研究,王凌轩； 孟骞,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
13,论西尔维娅·普拉斯的绘画诗,朱丽田； 宋涛,艺术生活-福州大学学报(艺术版),2020-12-20,0,0,0,170
