序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,艺术类大学生就业中自愿失业现象的相关问题研究——以浙江省为例,方振宇； 刘杨,艺术研究,2020-12-15,3,0,3,892
2,探究高校钢琴教学培养学生创新能力的路径,杨佩红,艺术研究,2020-12-15,1,0,1,892
3,非线性的研究性学习在工艺美术史课程中的综合应用,章译丹,艺术研究,2020-12-15,0,0,0,892
4,东巴文化视觉元素在民族产品包装设计中的运用,陈秀珍,艺术研究,2020-12-15,0,0,0,892
5,贵州少数民族服饰文化特征与传承变迁,孙津,艺术研究,2020-12-15,1,0,1,892
6,从视知觉角度研究剪纸的艺术形象——以陕北延川剪纸为例,杨川； 冯东； 丁卓,艺术研究,2020-12-15,1,0,1,892
7,无锡市湿地公园地域性景观设计研究——以梁鸿湿地公园为例,李倩； 朱蓉,艺术研究,2020-12-15,0,0,0,892
8,陕南名镇名村休闲旅游环境规划设计研究,罗鑫,艺术研究,2020-12-15,0,0,0,892
9,创客咖啡厅室内设计原理研究,农燕； 马云林,艺术研究,2020-12-15,0,0,0,892
10,规划视域下龙泉青瓷传统烧制技艺保护研究,厉泽萍； 李锋； 陈露,艺术研究,2020-12-15,0,0,0,892
11,非物质文化遗产——皮影艺术造型设计系列作品,叶辉,艺术研究,2020-12-15,1,0,1,892
12,文化风貌在历史街区建筑立面修缮和改造中的表达——以余姚市武胜门历史街区为例,韩斌； 杨子奇,艺术研究,2020-12-15,0,0,0,892
13,新农村建设下文物古建筑保护规划研究——以植福庵为例,杨成； 朱蓉,艺术研究,2020-12-15,0,0,0,892
14,欧式风格在主题餐厅设计的运用,杨磊,艺术研究,2020-12-15,0,0,0,892
15,丝绸之路下的先秦青铜艺术探源,唐曦兰,艺术研究,2020-12-15,0,0,0,892
16,两宋山水画“三远法”画理流变研究,杨颖； 吴越滨,艺术研究,2020-12-15,1,1,0,892
17,综合材料绘画的材料美感与绘画表现分析,林思,艺术研究,2020-12-15,3,0,3,892
18,剪纸中的镂空对油画造型语言时空转换的重构,赵志旺； 谢芳,艺术研究,2020-12-15,0,0,0,892
19,德宏傣族金袈裟节佛事用品中的图形图案,唐雅青； 赵杰,艺术研究,2020-12-15,0,0,0,892
20,《岁月的回响》纸本水墨,姜巍,艺术研究,2020-12-15,0,0,0,892
21,《天地大美 心驰神往 笔遂墨顺》,卢禹舜,艺术研究,2020-12-15,0,0,0,892
22,董喜春《存在》系列作品水彩语言研究,陈颖彦,艺术研究,2020-12-15,0,0,0,892
23,赵松涛的艺术成就与治学理念,史涛,艺术研究,2020-12-15,0,0,0,892
24,安塞尔姆·基弗废墟艺术中火的符号表现,胡钠,艺术研究,2020-12-15,2,0,2,892
25,时间的形状,王士军,艺术研究,2020-12-15,0,0,0,892
26,《制止污染，保我家园》海报设计,李鸿明,艺术研究,2020-12-15,0,0,0,892
27,《城市·空间》丝网版画,王芸,艺术研究,2020-12-15,0,0,0,892
28,繁密深秀 笔意宕逸——王蒙山水画皴法探微,余昭,艺术研究,2020-12-15,0,0,0,892
29,观看的权力——二元对立语境下的摄影,刘若馨,艺术研究,2020-12-15,1,0,1,892
30,儿童插画中的场景设计研究,沈钰； 吴卫华,艺术研究,2020-12-15,0,0,0,892
31,传统手工艺文化在当代的复兴,梅朵,艺术研究,2020-12-15,3,0,3,892
32,体育赛事中核心图形设计的创意构思与表现形式,刘兴,艺术研究,2020-12-15,0,0,0,892
