序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,赛博朋克中的人工智能形象解读——以忒修斯之船上的弗兰肯斯坦为例,李晨,英语广场,2020-12-25,0,0,0,2704
2,在线混合式大学英语写作教学模式的实践研究,施兆莉,英语广场,2020-12-25,2,0,2,2704
3,关于现代教育技术在大学英语新课程改革中应用的探讨,熊晶晶,英语广场,2020-12-25,1,0,1,2704
4,英语课堂多感官刺激与叙事教学的整合研究,段金惠,英语广场,2020-12-25,0,0,0,2704
5,基于互联网的英语口译教学新模式,袁志远； 郭克玲,英语广场,2020-12-25,0,0,0,2704
6,基于“学习通”的大学英语混合式教学模式构建,刘艳茹,英语广场,2020-12-25,4,0,4,2704
7,《布鲁克林的荒唐事》中的乌托邦和异托邦解读,刘绪元,英语广场,2020-12-25,1,0,1,2704
8,阿德勒自卑理论视域下《无声告白》中的人物身份分析,陈思琪,英语广场,2020-12-25,1,0,1,2704
9,中国文化“走出去”背景下蔡志忠《老子说》翻译策略探讨,何朋真,英语广场,2020-12-25,0,0,0,2704
10,基于语料库的《喜福会》叙事视角翻译研究,唐玉芹； 秦静,英语广场,2020-12-25,0,0,0,2704
11,目的论视域下中医科普文本外译研究,陈穆雯； 张淳,英语广场,2020-12-25,0,0,0,2704
12,中国学生三语习得中语音迁移的影响因素分析,李亚寒； 龚箭,英语广场,2020-12-25,0,0,0,2704
13,论建构主义理念下高等院校公共英语写作课程教学改革,陈婷,英语广场,2020-12-25,3,0,3,2704
14,试析影响文学作品中女性形象塑造的因素——以《蛙》与《逃离》为例,蒋明霞,英语广场,2020-12-25,0,0,0,2704
15,对外传播视域下中国菜名在美国译写调查,刘竹林,英语广场,2020-12-25,0,0,0,2704
16,基于文化翻译观《长恨歌》意象翻译探析,饶佳佳,英语广场,2020-12-25,0,0,0,2704
17,基于文化自信导向的高校英语教学改革,别俊玲,英语广场,2020-12-25,4,0,4,2704
18,从“能力立意”到“核心素养”转变的实践路径——贵阳市2020年英语中考试题解析,秦英,英语广场,2020-12-25,4,0,4,2704
19,谈言语交际者自我身份建构的人际传播意义,徐春霞； 高娜,英语广场,2020-12-25,0,0,0,2704
20,二语习得中的母语语音漂移现象探究,周鸣洁； 龚箭,英语广场,2020-12-25,0,0,0,2704
21,《射雕英雄传》在西方接受现状分析及文类命运探讨,李梓； 金露,英语广场,2020-12-25,0,0,0,2704
22,TED演讲中人际意义研究文献综述,左旭,英语广场,2020-12-25,0,0,0,2704
23,关于2019级高职学生喜爱的英文歌曲调查分析,刘斌,英语广场,2020-12-25,0,0,0,2704
24,基于ESP视域下高职护理专业英语POA教学模式构建,何比琪,英语广场,2020-12-25,2,1,1,2704
25,2020年全国卷Ⅰ英语阅读命题研究——英语学科核心素养背景下学生思维品质的培养,黄璜； 俞晓燕,英语广场,2020-12-25,1,0,1,2704
26,创客教育背景下中职英语课堂建构探讨——以阅读课为例,毛晓燕,英语广场,2020-12-25,2,0,2,2704
27,中职英语教学中培育社会主义核心价值观的有效策略探析,关振霞,英语广场,2020-12-25,0,0,0,2704
28,以生为本，构建中职英语高效课堂,张枚,英语广场,2020-12-25,2,0,2,2704
29,英语写作课堂上思辨能力培养的教学实践探索——从教材评价、任务设计和习作评价说起,邓昊熙,英语广场,2020-12-25,1,0,1,2704
30,基于结构方程建模的二语学习者交际意愿研究,王青； 何享,英语广场,2020-12-25,0,0,0,2704
31,“支架式教学”在高职英语教学中的应用研究,李静； 潘庆芝,英语广场,2020-12-25,1,0,1,2704
32,探讨基于问题链教学的初中英语阅读思维品质培养,姚盛春,英语广场,2020-12-25,10,0,10,2704
33,合作学习在大学英语阅读课中的应用研究,徐春宁,英语广场,2020-12-25,1,0,1,2704
34,探析法律英语对涉外法律人才培养的策略,李金宝,英语广场,2020-12-25,0,0,0,2704
35,探析《长日留痕》中史蒂文斯的职业价值观,李雪燕,英语广场,2020-12-25,1,0,1,2704
36,大学生英语隐喻习得与频次关系的实证研究,魏清,英语广场,2020-12-25,0,0,0,2704
