序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
1,中国电影如何再次度过倒春寒?——2019-2020中国电影比照分析,周星； 马立,齐鲁艺苑,2020-12-15,0,0,0,347
2,媒介、新受众与在线思维:新媒体时代电影受众教学方法改革研究,谢辛,齐鲁艺苑,2020-12-15,0,0,0,347
3,艺术与奢侈品的界限与融合——从奢侈品展览谈起,祝新乐,齐鲁艺苑,2020-12-15,0,0,0,347
4,对《华乐大典·二胡卷(文论篇)》中两个“索引”之疑议,孙新,齐鲁艺苑,2020-12-15,0,0,0,347
5,服装图册设计法内容与形式的差异性研究,王静渊,齐鲁艺苑,2020-12-15,0,0,0,347
6,民艺符号学视域下的湘西侗族与苗族服饰比较研究,张智艳； 王洪斌； 叶晓波,齐鲁艺苑,2020-12-15,1,0,1,347
7,中国传统美学的现象学还原——兼论现象学视域下的中国美学话语体系建构质料,桑东辉,齐鲁艺苑,2020-12-15,0,0,0,347
8,《颜氏家训》中的文艺批评观,王伟,齐鲁艺苑,2020-12-15,0,0,0,347
9,玄风视域下魏晋书法“流美”的三个层次,曹斌,齐鲁艺苑,2020-12-15,0,0,0,347
10,当代粉画的教学发展之道——以20世纪前期中国粉画实践与传播为依据,刘康琳,齐鲁艺苑,2020-12-15,0,0,0,347
11,俄罗斯莫斯科国立苏里科夫美术学院镶嵌壁画课程实录,申林,齐鲁艺苑,2020-12-15,0,0,0,347
12,王克举油画长卷《黄河》,水天中,齐鲁艺苑,2020-12-15,0,0,0,347
13,中国重彩画色彩语言的精神表达,王鲲,齐鲁艺苑,2020-12-15,1,0,1,347
14,中国“谍战电影”研究的历史与现状,叶凯,齐鲁艺苑,2020-12-15,0,0,0,347
15,民间锣鼓谱的“形声”——以江苏地区戏曲与合奏乐种中的锣鼓牌子为例,唐承文,齐鲁艺苑,2020-12-15,1,0,1,347
16,中国纪录片创作的诗意建构,潘梦歌； 吴保和,齐鲁艺苑,2020-12-15,3,0,3,347
17,由查尔斯·罗森关于“音乐意义”的论断引发的思考,贾波,齐鲁艺苑,2020-12-15,0,0,0,347
18,莫什科夫斯基《西班牙随想曲》研究,于莉莉,齐鲁艺苑,2020-12-15,0,0,0,347
19,俗曲【罗江怨】探源,刘晓静,齐鲁艺苑,2020-12-15,0,0,0,347
20,陇东南民间美术的历史文化意蕴,余永红,齐鲁艺苑,2020-12-15,0,0,0,347
21,论国际艺术传播与贸易视域下的艺术管理,田川流,齐鲁艺苑,2020-10-15,1,0,1,347
22,“同均三宫”理论的学术启示与立论正误再辨,蒲亨建,齐鲁艺苑,2020-10-15,0,0,0,347
23,论罗山皮影戏“一曲多用”现象形成的原因——以伴奏音乐中的唢呐接腔为例,王传历,齐鲁艺苑,2020-10-15,3,1,2,347
24,古词古韵 “琴”歌相和——钢琴伴奏对古诗词歌曲表意功能之强化作用,肖婧,齐鲁艺苑,2020-10-15,1,0,1,347
25,2017年度山东省舞蹈学研究述要,孟梦,齐鲁艺苑,2020-10-15,0,0,0,347
26,艺术硕士课程教学与实践研究——以山东艺术学院舞蹈学院硕士研究生培养为例,王岩； 王英杰,齐鲁艺苑,2020-10-15,0,0,0,347
27,《疯狂的外星人》:国产科幻电影的本土意识,李宁,齐鲁艺苑,2020-10-15,1,0,1,347
28,《流浪地球》:硬科幻电影的中国道路,高原； 薛精华,齐鲁艺苑,2020-10-15,1,0,1,347
29,《哪吒之魔童降世》:游戏化叙事、重构式人物与想象力美学,张明浩,齐鲁艺苑,2020-10-15,6,1,5,347
30,2019:电影蓝皮书视野下的“想象力消费”电影,陈旭光,齐鲁艺苑,2020-10-15,1,0,1,347
31,摹象、喻象、意象:关于中西方“戏剧形象”问题的思考,杨慧芹,齐鲁艺苑,2020-10-15,0,0,0,347
32,沈光伟作品,沈光伟,齐鲁艺苑,2020-10-15,0,0,0,347
33,五行与五色的符号化、秩序化,王路； 刘德卿,齐鲁艺苑,2020-10-15,1,0,1,347
34,马星驰与清末民初的漫画艺术,李娟,齐鲁艺苑,2020-10-15,0,0,0,347
35,“崇宋拥元”——论《顾氏画谱》的收录原则,陈煜,齐鲁艺苑,2020-10-15,0,0,0,347
36,尼德兰17世纪绘画作品中的画家生活——兼论尼德兰17世纪画家师徒关系,张康,齐鲁艺苑,2020-10-15,0,0,0,347
37,“书画同源”与“以书入画”,杨坤衡,齐鲁艺苑,2020-10-15,1,0,1,347
