序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数,数据库编码,数据库名,文件编号
1754,从认知语言学看翻译中的词性转换,吴琦凡；薛燕,英语广场,2019-03-15,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201903016
1892,浅析英文电影片名的译法,杨晨；陈洁,英语广场,2019-02-20 11:07,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201902031
1908,浅析英文歌曲在初中英语听说教学中的应用,毛圣娟,英语广场,2019-02-20 11:07,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201902077
1938,核心素养下初中英语读写结合教学模式初探,顾伟红,英语广场,2019-01-15,31,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901062
1939,浅谈如何提高初中学生英语核心素养之语言能力——词块教学的实践,何蓓蓓,英语广场,2019-01-15,12,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901064
1945,初中英语写作教学中的“以读促写”初探,谢永仙,英语广场,2019-01-15,14,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901070
1972,“一带一路”背景下高校英语教学跨文化交际能力培养策略,韩国崇,英语广场,2019-01-15,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901014
1981,功能语境下的博物馆解说词汉译英,高芳,英语广场,2019-01-15,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901023
1985,语音教学在高校非英语专业英语教学中的渗透探讨,苏明,英语广场,2019-01-15,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901032
1986,高职高考英语语法填空板块备考策略浅述,梁叶玲,英语广场,2019-01-15,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901033
1993,基于多模态理论的大学英语听说教学研究,刘红云,英语广场,2019-01-15,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901041
1999,外国影视中体现的文化差异初探——以好莱坞影片《花木兰》为例,奚佳雯；曹芸菲；杨蕾；刘雅文,英语广场,2019-01-15,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201901009
2004,论归化异化翻译策略选择的影响因素,张美；王荣媛,英语广场,2019-05-17 08:51,7,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905009
2007,语言商品化对国外高校外语教师身份认同构建的研究,王裕森,英语广场,2019-06-13 17:09,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906020
2010,试论生态翻译学视域下高校外语专业翻译课程教学模式的构建,赵丹,英语广场,2019-06-13 17:09,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906010
2023,大学英语口语翻转课堂的可行性研究,李赛男,英语广场,2019-06-13 17:09,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906045
2032,美剧对提高大学生英语口语交际能力的探讨,秦盛华,英语广场,2019-05-17 08:51,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905039
2038,多媒体在高职高专英语教学中的应用研究,李小非,英语广场,2019-06-13 17:09,4,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906051
2043,“互联网+”环境下以POA为指导的CBI大学英语写作教学,龙晓华；张莉；李一李；兰玉玲,英语广场,2019-06-13 17:09,6,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906056
2052,高校学生传统文化英译能力培养路径研究,王晓珊,英语广场,2019-05-17 08:51,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905030
2054,大学英语翻译多元化评价体系的构建研究,唐怿春,英语广场,2019-05-17 08:51,4,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905041
2057,“互联网+”背景下实用英语混合式教学模式设计研究,程静,英语广场,2019-05-17 08:51,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905058
2058,职高英语抛锚式教学的思考与实践,张艳；陈芹,英语广场,2019-05-17 08:51,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905059
2059,简析混合式学习模式在高职英语教学中的应用,朱汇,英语广场,2019-05-17 08:51,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905061
2063,信息化教学模式下高职英语口语教学实践探究,张婷婷,英语广场,2019-06-13 17:09,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906058
2069,浅谈任务型教学法在非英语专业大学生英语阅读教学中的应用,廖勤思,英语广场,2019-06-13 17:09,6,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906065
2071,浅析高职英语教学中跨文化交际能力的培养,龚铄,英语广场,2019-06-13 17:09,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906067
2072,基于移动学习的大学生英语听说能力培养研究,戴若辰,英语广场,2019-06-13 17:09,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906068
2073,浅谈跨文化交际在高校英语教学中的有效渗透,陈晨,英语广场,2019-06-13 17:09,7,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906069
2110,基于新课改的高质量高中英语课堂构建,李保朝,英语广场,2019-05-17 08:51,10,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905071
2111,论语用能力在初中英语阅读教学中的培养,崔丽芳,英语广场,2019-05-17 08:51,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905072
2114,网络教学环境下的初中英语名著阅读,黄丽丽,英语广场,2019-05-17 08:51,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905075
2122,学案导学法在初中英语教学中的应用价值研究,毛飞芬,英语广场,2019-05-17 08:51,10,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905088
2123,基于核心素养的小学生英语朗读能力初探,李倩媚,英语广场,2019-05-17 08:51,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905089
2155,电大成人英语教学中微课与翻转课堂应用研究,杨鹏鲲,英语广场,2019-05-17 08:51,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905050
2156,非英语专业研究生英语写作“思辨缺席”因素及对策,高月荣；成昱,英语广场,2019-05-17 08:51,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905051
2159,大学英语信息化教学现状与改善策略分析,杜鑫；宋和,英语广场,2019-05-17 08:51,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201905056
2164,高职商务英语专业学生跨文化交际能力培养路径,乔时玲,英语广场,2019-06-13 17:09,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201906031
2179,空间理论视角下的康拉德与《礁湖》,张弛；王晨澍,英语广场,2019-07-08 14:53,28,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907002
2181,文学作品《尘埃之书》中反讽叙事的隐性进程,陈晓琪；张媛媛,英语广场,2019-07-08 14:53,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907004
2192,经济全球化背景下的新闻英语语篇特征与翻译策略分析,曾帅,英语广场,2019-07-08 14:53,8,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907014
2193,功能对等理论下的中式菜名翻译研究,吴刚,英语广场,2019-07-08 14:53,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907015
2215,利用课堂活动提高职高学生的英语口语能力,李红华,英语广场,2019-07-08 14:53,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907046
2217,积极心理学视角下的高职英语教学改革及创新思考,肖丽文,英语广场,2019-07-08 14:53,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907048
2225,高职会计英语课程教学中存在问题与改革策略,耿海粟,英语广场,2019-07-08 14:53,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907056
2226,基于文化理解视角下的大学生英语听力影响因素研究,张翰文；张文鹏,英语广场,2019-07-08 14:53,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907057
2232,学术英语背景下公共英语听说课程的改革与实践研究,侯文瑜,英语广场,2019-07-08 14:53,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201907063
2276,功能对等理论视角下方言中“整”字的翻译,娄怡,英语广场,2019-07-22 14:08,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908018
2294,多媒体外语教学中的情感因素影响探究,袁艳玲；李先进,英语广场,2019-07-22 14:08,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908031
2305,西北地区高校英语教师专业核心能力模型构建及提升策略,丁翠萍,英语广场,2019-07-22 14:08,3,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908042
2317,基于职业能力导向的高职院校大学英语EGP与ESP融合教学探索,王金洛；杜娟,英语广场,2019-07-22 14:08,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908054
2322,翻转课堂在高校英语听说教学实践中的应用探究,李思静,英语广场,2019-07-22 14:08,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908059
